Name,SentenceID,SentenceTemplate,ResultText,WordSlots,RequiredPhotoCount,PhotoSlots,SentenceType,DesignerNote,CharacterID,bIsFolderStatement
SENT_01_STATEMENT_01,SENT_01_STATEMENT_01,[]이/가 [] 있어 []에 []이/가 닿았을 가능성은 [].,커튼이 닫혀 있어 스노우글로브에 햇빛이 닿았을 가능성은 없다.,"((SlotIndex=0,CorrectWordID=WORD_01_010,OrderGroup=0),(SlotIndex=1,CorrectWordID=WORD_01_025,OrderGroup=0),(SlotIndex=2,CorrectWordID=WORD_01_013,OrderGroup=0),(SlotIndex=3,CorrectWordID=WORD_01_009,OrderGroup=0),(SlotIndex=4,CorrectWordID=WORD_01_024,OrderGroup=0))",1,"((SlotIndex=0,CorrectPhotoID=PHOTO_01_007))",Statement,진술서 반증 문제 문장 (커튼),CHARACTER_SISTER,TRUE
SENT_01_STATEMENT_02,SENT_01_STATEMENT_02,우리 가족의 가족 사진이다. []의 반증 증거가 될 수 [].,우리 가족의 가족 사진이다. 자백의 반증 증거는 될 수 없다.,"((SlotIndex=0,CorrectWordID=WORD_01_003,OrderGroup=0))",1,"((SlotIndex=0,CorrectPhotoID=PHOTO_01_003))",Statement,진술서 반증 문제 문장 (가족사진),CHARACTER_SISTER,FALSE
SENT_01_STATEMENT_03,SENT_01_STATEMENT_03,여동생의 일기장이다. []의 반증 증거가 될 수 [].,여동생의 일기장이다. 자백의 반증 증거는 될 수 없다.,"((SlotIndex=0,CorrectWordID=WORD_01_003,OrderGroup=0))",1,"((SlotIndex=0,CorrectPhotoID=PHOTO_01_004))",Statement,진술서 반증 문제 문장 (일기장),CHARACTER_SISTER,FALSE
SENT_01_STATEMENT_04,SENT_01_STATEMENT_04,불타서 파손된 고데기다. []의 반증 증거가 될 수 [].,불타서 파손된 고데기다. 자백의 반증 증거는 될 수 없다.,"((SlotIndex=0,CorrectWordID=WORD_01_003,OrderGroup=0))",1,"((SlotIndex=0,CorrectPhotoID=PHOTO_01_005))",Statement,진술서 반증 문제 문장 (고데기),CHARACTER_SISTER,FALSE
SENT_01_STATEMENT_05,SENT_01_STATEMENT_05,깨져 있는 창문이다. []의 반증 증거가 될 수 [].,깨져 있는 창문이다. 자백의 반증 증거는 될 수 없다.,"((SlotIndex=0,CorrectWordID=WORD_01_003,OrderGroup=0))",1,"((SlotIndex=0,CorrectPhotoID=PHOTO_01_006))",Statement,진술서 반증 문제 문장 (창문),CHARACTER_SISTER,FALSE
SENT_01_STATEMENT_06,SENT_01_STATEMENT_06,녹아내린 커튼 봉이다. []의 반증 증거가 될 수 [].,녹아내린 커튼 봉이다. 자백의 반증 증거는 될 수 없다.,"((SlotIndex=0,CorrectWordID=WORD_01_003,OrderGroup=0))",1,"((SlotIndex=0,CorrectPhotoID=PHOTO_01_008))",Statement,진술서 반증 문제 문장 (커튼 봉),CHARACTER_SISTER,FALSE
SENT_01_STATEMENT_07,SENT_01_STATEMENT_07,소방관의 작업화 발자국이다. []의 반증 증거가 될 수 [].,소방관의 작업화 발자국이다. 자백의 반증 증거는 될 수 없다.,"((SlotIndex=0,CorrectWordID=WORD_01_003,OrderGroup=0))",1,"((SlotIndex=0,CorrectPhotoID=PHOTO_01_009))",Statement,진술서 반증 문제 문장 (발자국),CHARACTER_SISTER,FALSE
SENT_01_STATEMENT_08,SENT_01_STATEMENT_08,깨져버린 스노우글로브이다. []의 반증 증거가 될 수 [].,깨져버린 스노우글로브이다. 자백의 반증 증거는 될 수 없다.,"((SlotIndex=0,CorrectWordID=WORD_01_003,OrderGroup=0))",1,"((SlotIndex=0,CorrectPhotoID=PHOTO_01_010))",Statement,진술서 반증 문제 문장 (스노우 글로브),CHARACTER_SISTER,FALSE
SENT_01_STATEMENT_09,SENT_01_STATEMENT_09,그을린 보조배터리이다. []의 반증 증거가 될 수 [].,그을린 보조배터리이다. 자백의 반증 증거는 될 수 없다.,"((SlotIndex=0,CorrectWordID=WORD_01_003,OrderGroup=0))",1,"((SlotIndex=0,CorrectPhotoID=PHOTO_01_015))",Statement,진술서 반증 문제 문장 (보조배터리),CHARACTER_SISTER,FALSE
SENT_01_STATEMENT_10,SENT_01_STATEMENT_10,"쪽지는 []와/과 []때문에, []의 반증 증거가 될 수 [].",어머니가 쓴 쪽지이다. 자백의 반증 증거로서 사용할 수 있다.,"((SlotIndex=0,CorrectWordID=WORD_01_003,OrderGroup=0),(SlotIndex=1,CorrectWordID=WORD_01_023,OrderGroup=0))",1,"((SlotIndex=0,CorrectPhotoID=PHOTO_01_016))",Statement,진술서 반증 문제 문장 (쪽지),CHARACTER_SISTER,FALSE
